policy,budget,beta,total_cost_spent,probes,partial_recal,full_recal,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,unnecessary_recalibration_rate,mean_performance,mean_performance_ci95_low,mean_performance_ci95_high,best_conservative_for_budget,periodic_full_reward_mean,periodic_partial_reward_mean,periodic_full_ttf_median,periodic_partial_ttf_median
periodic_full,40.0,,40.0,0.0,0.0,4.0,44.08950324443329,43.64243768173812,44.536568807128454,15.0,6.75,0.1625,0.801491720740555,0.7940406280289689,0.808942813452141,False,,,,
periodic_partial,40.0,,40.0,0.0,10.0,0.0,49.00200615467146,48.56418369801928,49.43982861132365,61.0,3.5,0.52,0.8833667692445243,0.8760697283003211,0.8906638101887274,False,,,,
conservative_bandit,40.0,0.1,38.0,1.0,9.0,0.0,47.8007612878546,47.26023616597998,48.341286409729214,55.0,29.75,0.35,0.8600126881309098,0.8510039360996662,0.8690214401621534,True,44.08950324443329,49.00200615467146,15.0,61.0
conservative_bandit,40.0,0.2,38.3,0.85,9.15,0.0,46.94479779172864,45.02720279213167,48.86239279132561,57.5,39.25,0.38,0.8462466298621439,0.8148047557765362,0.8776885039477517,False,44.08950324443329,49.00200615467146,15.0,61.0
conservative_bandit,40.0,0.3,38.4,0.8,9.2,0.0,47.446748829654425,46.38202341565266,48.51147424365619,58.0,24.25,0.35055555555555556,0.854779147160907,0.8375355195220029,0.872022774799811,False,44.08950324443329,49.00200615467146,15.0,61.0
conservative_bandit,40.0,0.5,38.5,0.75,9.25,0.0,46.578245657483606,44.5231739914683,48.633317323498915,53.5,43.25,0.4322222222222222,0.8404707609580602,0.806701739040027,0.8742397828760934,False,44.08950324443329,49.00200615467146,15.0,61.0
periodic_full,60.0,,60.0,0.0,0.0,6.0,43.448403452614436,43.125180443837685,43.771626461391186,18.0,24.75,0.225,0.824140057543574,0.8187530073972948,0.8295271076898532,False,,,,
periodic_partial,60.0,,60.0,0.0,15.0,0.0,47.43981844635105,47.07906725894735,47.80056963375475,61.0,0.0,0.4566666666666667,0.8906636407725174,0.8846511209824557,0.896676160562579,False,,,,
conservative_bandit,60.0,0.1,58.3,0.85,14.15,0.0,46.45251985562007,45.31135554816626,47.593684163073874,61.0,23.25,0.5557142857142857,0.8713753309270011,0.8528434381432232,0.8899072237107791,False,43.448403452614436,47.43981844635105,18.0,61.0
conservative_bandit,60.0,0.2,58.2,0.9,14.1,0.0,46.95041726736832,45.68644600687969,48.214388527856954,61.0,0.0,0.5109523809523809,0.8795069544561386,0.8587382894500154,0.9002756194622618,True,43.448403452614436,47.43981844635105,18.0,61.0
conservative_bandit,60.0,0.3,58.5,0.75,14.25,0.0,45.80208538165864,44.18566679454744,47.41850396876985,61.0,4.5,0.5066666666666666,0.8608680896943106,0.8344732399078256,0.8872629394807956,False,43.448403452614436,47.43981844635105,18.0,61.0
conservative_bandit,60.0,0.5,58.4,0.8,14.2,0.0,46.31576353061177,44.65819292573133,47.97333413549221,61.0,2.75,0.46071428571428574,0.8692627255101961,0.8420260900805812,0.8964993609398111,False,43.448403452614436,47.43981844635105,18.0,61.0
periodic_full,80.0,,80.0,0.0,0.0,8.0,41.8050480367816,41.54666864435489,42.06342742920831,30.0,24.75,0.33125,0.8300841339463598,0.8257778107392479,0.8343904571534717,False,,,,
periodic_partial,80.0,,80.0,0.0,20.0,0.0,45.79686786100487,45.56621099610854,46.0275247259012,61.0,0.0,0.5225000000000001,0.8966144643500812,0.8927701832684757,0.9004587454316867,False,,,,
conservative_bandit,80.0,0.1,78.2,0.9,19.1,0.0,44.91425026615923,43.53838301812311,46.290117514195344,61.0,0.0,0.5982894736842105,0.878904171102654,0.8564121745471583,0.9013961676581496,False,41.8050480367816,45.79686786100487,30.0,61.0
conservative_bandit,80.0,0.2,78.2,0.9,19.1,0.0,45.40796562171647,44.38282645369718,46.433104789735765,61.0,0.0,0.5710526315789474,0.8871327603619413,0.8704803450218855,0.9037851757019971,True,41.8050480367816,45.79686786100487,30.0,61.0
conservative_bandit,80.0,0.3,78.3,0.85,19.15,0.0,45.17014051470028,44.03293925606497,46.30734177333559,61.0,0.0,0.5605263157894738,0.8833356752450049,0.864839964772865,0.9018313857171448,False,41.8050480367816,45.79686786100487,30.0,61.0
conservative_bandit,80.0,0.5,78.6,0.75,19.15,0.05,44.39212048510445,42.97333558592424,45.81090538428466,61.0,5.75,0.6082602339181287,0.8708686747517408,0.8477920702073768,0.8939452792961048,False,41.8050480367816,45.79686786100487,30.0,61.0
periodic_full,100.0,,100.0,0.0,0.0,10.0,40.015500331625546,39.83568929884598,40.195311364405114,29.0,51.0,0.355,0.8335916721937592,0.830594821647433,0.8365885227400853,False,,,,
periodic_partial,100.0,,80.0,0.0,20.0,0.0,45.930794966117844,45.71974455356461,46.14184537867108,61.0,0.0,0.5450000000000002,0.8988465827686307,0.8953290758927435,0.902364089644518,False,,,,
conservative_bandit,100.0,0.1,82.9,0.95,20.25,0.0,45.51335093110994,44.98408261468681,46.04261924753307,61.0,0.0,0.5765,0.8967225155184992,0.890466976783796,0.9029780542532024,False,40.015500331625546,45.930794966117844,29.0,61.0
conservative_bandit,100.0,0.2,86.4,0.85,20.55,0.25,44.298379993527504,42.80103493402296,45.79572505303205,61.0,0.0,0.5467857142857143,0.8823063332254584,0.8619549079306672,0.9026577585202495,False,40.015500331625546,45.930794966117844,29.0,61.0
conservative_bandit,100.0,0.3,83.6,1.0,20.4,0.0,45.51846165562823,45.18593708767024,45.85098622358622,61.0,0.0,0.5545833333333333,0.897974360927137,0.8951181795527218,0.9008305423015522,True,40.015500331625546,45.930794966117844,29.0,61.0
conservative_bandit,100.0,0.5,84.7,0.85,20.75,0.0,44.78388178929018,43.697234443189316,45.87052913539104,61.0,0.0,0.5935,0.8875646964881698,0.873224879324363,0.9019045136519767,False,40.015500331625546,45.930794966117844,29.0,61.0
periodic_full,120.0,,120.0,0.0,0.0,12.0,38.173509425868914,38.02857237725491,38.31844647448292,60.5,46.25,0.4333333333333333,0.8362251570978154,0.8338095396209154,0.8386407745747154,False,,,,
periodic_partial,120.0,,120.0,0.0,30.0,0.0,42.25653640195891,41.99100580167054,42.52206700224728,61.0,0.0,0.64,0.9042756066993152,0.899850096694509,0.9087011167041213,False,,,,
conservative_bandit,120.0,0.1,118.1,0.95,29.05,0.0,42.49901832415335,42.343726319787905,42.65431032851879,61.0,0.0,0.674367816091954,0.9051503054025559,0.9026041166314283,0.9076964941736836,True,38.173509425868914,42.25653640195891,60.5,61.0
conservative_bandit,120.0,0.2,118.4,0.8,29.2,0.0,41.73495320666176,40.794868852050385,42.67503756127313,61.0,0.0,0.6369540229885058,0.8929158867776961,0.8776329793706154,0.9081987941847768,False,38.173509425868914,42.25653640195891,60.5,61.0
conservative_bandit,120.0,0.3,118.8,0.6,29.4,0.0,40.819548800856076,39.69159666962592,41.94750093208623,61.0,11.5,0.6492528735632185,0.8783258133476013,0.8601164438592769,0.8965351828359257,False,38.173509425868914,42.25653640195891,60.5,61.0
conservative_bandit,120.0,0.5,118.7,0.65,29.35,0.0,41.2260484764423,40.203593047747034,42.24850390513757,61.0,16.0,0.622183908045977,0.8849341412740384,0.8684350947199108,0.901433187828166,False,38.173509425868914,42.25653640195891,60.5,61.0
